Animal,Descripción,Imagen,LinkWikidata,Velocidad,Nombre Cientifico,Familia,FamiliaDescr,Numero Obras,Obras Prado,Siglo Más popular,interés,link dbpedia,"interés "
Corzo,"Es un animal más ramoneador que de pastos, aun cuando se adapta fácilmente a esta dieta donde falta la masa arbustiva. En estado adulto el corzo tiene una altura en la cruz de unos setenta y cinco centímetros como máximo y un peso de entre veinte y treinta kilos.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Capreolus_%28js%2911.jpg/330px-Capreolus_%28js%2911.jpg,https://www.wikidata.org/wiki/Q122069,40 km/h,Capreolus capreolus,,,0,,N/A,Altoo,,
Gamo,"El gamo común o europeo es una especie de cérvido nativa de la región mediterránea. Se diferencia del otro gran cérvido europeo, el ciervo común, en su menor tamaño, sus astas palmeadas y su manto de pelo pardo-rojizo salpicado de motas blancas en primavera y verano. ",,https://www.wikidata.org/wiki/Q159857,48 km/h,Dama dama,,,0,,N/A,,,
Gato,"El gato doméstico​​ llamado más comúnmente gato, y de forma coloquial minino, ​ michino, ​ y algunos nombres más, es un mamífero carnívoro de la familia Felidae. El nombre actual en muchas lenguas proviene del latín vulgar catus.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Tiger_Tim_%28cropped%29.jpg/330px-Tiger_Tim_%28cropped%29.jpg,https://www.wikidata.org/wiki/Q146,48 km/h (Maximum),Felis silvestris catus,Felidae,http://www.w3.org/2004/02/skos/core#altLabel: especies felinas|http://www.w3.org/2004/02/skos/core#altLabel: felido|http://www.w3.org/2004/02/skos/core#altLabel: félido|http://www.w3.org/2004/02/skos/core#altLabel: felidos|http://www.w3.org/2004/02/skos/core#altLabel: felino|http://www.w3.org/2004/02/skos/core#altLabel: felinos|http://schema.org/description: familia de mamíferos|http://www.w3.org/2000/01/rdf-schema#label: Felidae|,0,,N/A,,https://es.dbpedia.org/page/Categor%C3%ADa:Gatos,
Gaviota,"Los láridos son una familia de aves del orden Charadriiformes conocidas coloquialmente como gaviotas o pavanas. Están estrechamente relacionadas con los charranes de la familia Sternidae, y más lejanamente con las aves zancudas. La mayoría de las gaviotas pertenece al género Larus.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Black-headed_Gull_-_St_James%27s_Park%2C_London_-_Nov_2006.jpg/330px-Black-headed_Gull_-_St_James%27s_Park%2C_London_-_Nov_2006.jpg,https://www.wikidata.org/wiki/Q2699803,,Larinae ,,,0,,N/A,,,
Guacamayo,"Ara es un género de aves psitaciformes de la familia Psittacidae, comúnmente denominadas Guacamayos, Guacamayas, Lapas o guaras. ",https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Eurasian_wolf_2.jpg/330px-Eurasian_wolf_2.jpg,https://www.wikidata.org/wiki/Q213984,,Ara ,,,0,,N/A,,,
Lobo,"El lobo es una especie de mamífero placentario del orden de los carnívoros. El naturalista Carlos Linneo, en la décima edición de su obra Systema naturæ, publicada en 1758, clasificó al perro doméstico como especie distinta.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Eurasian_wolf_2.jpg/330px-Eurasian_wolf_2.jpg,https://www.wikidata.org/wiki/Q18498,60 km/h (Maximum),Canis lupus,Canidae,http://schema.org/description: familia de mamíferos|http://www.w3.org/2000/01/rdf-schema#label: Canidae|http://www.w3.org/2004/02/skos/core#altLabel: canido|http://www.w3.org/2004/02/skos/core#altLabel: cánido|http://www.w3.org/2004/02/skos/core#altLabel: canidos|http://www.w3.org/2004/02/skos/core#altLabel: cánidos|,0,,N/A,,,
Lagartija,"Lagartija es un término usado en varios países como nombre común para denominar a algunas o todas las especies de ciertos géneros de las familias Lacertidae, Gekkonidae y Phrynosomatidae. En España, específicamente en las provincias de Burgos, Cuenca y Palencia, ""ligaterna"" .",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Brown_Anole_Lizard_ARPT-LZ-BA-1.jpg/330px-Brown_Anole_Lizard_ARPT-LZ-BA-1.jpg,https://www.wikidata.org/wiki/Q15629245,24 km/h,Lacertidae,,,0,,N/A,,,
Nutria,"Los lutrinos, conocidos comúnmente como nutrias, son una subfamilia de mamíferos placentarios carnívoros de la familia Mustelidae. Actualmente existen trece especies de nutrias repartidas en siete géneros, ​ con una distribución de la población prácticamente mundial.",,https://www.wikidata.org/wiki/Q200184,20 km/h,Lutrinae,,,0,,N/A,,,
Perro,"El perro, ​​​ llamado perro doméstico o can, ​ y en algunos lugares coloquialmente llamado chucho, ​ tuso, ​ choco, ​ entre otros; es un mamífero carnívoro de la familia de los cánidos, que constituye una especie del género Canis.​​",,https://www.wikidata.org/wiki/Q20717272,"37,28 millas/h",Canis familiaris,,,0,,N/A,,,
Perdiz,"Las perdices son aves no migratorias de la familia Phasianidae nativas de Europa, Asia, África y Medio Oriente. Por extensión, en algunos lugares se llama ""perdiz"" a las especies americanas de la familia Odontophoridae, y a algunas especies de la familia Tinamidae. ",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Perdix_perdix_%28Marek_Szczepanek%29.jpg/330px-Perdix_perdix_%28Marek_Szczepanek%29.jpg,https://www.wikidata.org/wiki/Q732775,,Partridge ,Phasianidae,http://schema.org/description: familia de aves|http://www.w3.org/2000/01/rdf-schema#label: Phasianidae|http://www.w3.org/2004/02/skos/core#altLabel: Faisan|,0,,N/A,,,
Pavo,"El pavo doméstico es un ave de corral de gran tamaño utilizada en la alimentación humana, fundamentalmente por su carne, y en mucha menor medida por sus huevos. Fue introducido como ave doméstica en casi todo el mundo. La mayor demanda de carne de pavo ocurre para la fecha de Navidad. ",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Ursus_arctos_Dessin_ours_brun_grand.jpg/323px-Ursus_arctos_Dessin_ours_brun_grand.jpg,https://www.wikidata.org/wiki/Q848706,160 km/h,Meleagris gallopavo domesticus,,,0,,N/A,,,
Oso,"Los osos o úrsidos son una familia de mamíferos omnívoros.​ Son animales de gran tamaño, generalmente omnívoros, ya que, a pesar de su temible dentadura, comen frutos, raíces e insectos",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Ursus_arctos_Dessin_ours_brun_grand.jpg/323px-Ursus_arctos_Dessin_ours_brun_grand.jpg,https://www.wikidata.org/wiki/Q11788,50 km/h,Ursidae,,,0,,N/A,,,
Rana,"Rana es un género de anfibios anuros de la familia Ranidae que habitan en Eurasia templada hasta Indochina.​ Las especies de este género se caracterizan por sus cinturas delgadas y la piel rugosa; muchas poseen finas estrías que recorren la espalda, aunque sin las verrugas típicas de los sapos. ",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Rana_aurora_Fern_Canyon.jpg/330px-Rana_aurora_Fern_Canyon.jpg,https://www.wikidata.org/wiki/Q11788,,Rana,,,0,,N/A,,,https://www.wikidata.org/wiki/Q11788
